Teams,id,League
arsenal,359,epl
aston villa,362,epl
cardiff city,347,epl
chelsea,363,epl
crystal palace,384,epl
everton,368,epl
fulham,370,epl
hull city,306,epl
liverpool,364,epl
man city,382,epl
 man united,360,epl
newcastle,361,epl
norwich,381,epl
southampton,376,epl
stoke,336,epl
sunderland,366,epl
swansea,318,epl
tottenham,367,epl
west brom,383,epl
west ham,371,epl
almeria,6832,la liga
athletico madrid,1068,la liga
athletic bilbao,93,la liga
barcelona,83,la liga
celta vigo,85,la liga
elche,3751,la liga
espanyol,88,la liga
getafe,2922,la liga
granada,3747,la liga
levante,1538,la liga
malaga,99,la liga
osasuna,97,la liga
rayo vallecano,101,la liga
real madrid,86,la liga
real sociedad,89,la liga
real valladolid,95,la liga
rela betis,244,la liga
sevilla,243,la liga
valencia,94,la liga
villareal,102,la liga
ac milan,103,seria A
as roma,104,seria A
atalanta,105,seria A
bologna,107,seria A
cagliari,2925,seria A
catania,3258,seria A
chievo verona,238,seria A
fiorentina,109,seria A
genoa,3263,seria A
hellas verona,119,seria A
internazionale,110,seria A
juventus,111,seria A
lazio,112,seria A
livorno,2926,seria A
napoli,114,seria A
parma,115,seria A
sampdoria,2734,seria A
sassuolo,3997,seria A
torino,239,seria A
udinese,118,seria A
bayer leverkusen,131,bundesliga
bayern munich,132,bundesliga
borussia dortmund,124,bundesliga
borussia monchengladbach,268,bundesliga
eintracht frankfurt,125,bundesliga
fc augsburg,3841,bundesliga
hamburg sv,127,bundesliga
hannover 96,2428,bundesliga
hetha berlin,129,bundesliga
mainz,2950,bundesliga
nurnberg,269,bundesliga
sc freiburg,126,bundesliga
schalke 04,133,bundesliga
tsg hoffenheim,7911,bundesliga
tsv eintracht braunschweig,3067,bundesliga
vfb stuttgart,134,bundesliga
vfl wolfsburg,138,bundesliga
werder bremen,137,bundesliga
